Deliverable#;GN ID;Channel;SKY;Gracenote;Service Key;Merlin ID
Deliverable 1;91205;SKY TG24 HD;https://it.imageservice.sky.com/logo/skychb_519skytg24hd;https://myriad.merlin.comcast.com/select/logo?entityId=7317111225246489117;519;7317111225246489117
Deliverable 1;21834;RAI UNO;https://it.imageservice.sky.com/logo/skychb_899rai1;https://myriad.merlin.comcast.com/select/logo?entityId=7872130079614488117;899;7872130079614488117
Deliverable 1;21812;RAI DUE;https://it.imageservice.sky.com/logo/skychb_898rai2;https://myriad.merlin.comcast.com/select/logo?entityId=4981955758540468117;898;4981955758540468117
Deliverable 1;53928;RAI TRE;https://it.imageservice.sky.com/logo/skychb_897rai3;https://myriad.merlin.comcast.com/select/logo?entityId=7515334524077125117;897;7515334524077125117
Deliverable 1;84701;RETE 4 HD;https://it.imageservice.sky.com/logo/skychb_5464rete4hd;https://myriad.merlin.comcast.com/select/logo?entityId=5582683767057725117;5464;5582683767057725117
Deliverable 1;91186;CANALE 5 HD;https://it.imageservice.sky.com/logo/skychb_5435canale5hd;https://myriad.merlin.comcast.com/select/logo?entityId=7754692787596123117;5435;7754692787596123117
Deliverable 1;84622;ITALIA 1 HD;https://it.imageservice.sky.com/logo/skychb_5459italia1hd;https://myriad.merlin.comcast.com/select/logo?entityId=9206050778986626117;5459;9206050778986626117
Deliverable 1;56247;LA7;https://it.imageservice.sky.com/logo/skychb_407la7;https://myriad.merlin.comcast.com/select/logo?entityId=5429150926304197117;407;5429150926304197117
Deliverable 1;86304;SKY UNO HD/SD;https://it.imageservice.sky.com/logo/skychb_477skyunohd;https://myriad.merlin.comcast.com/select/logo?entityId=5969480290600213117;477;5969480290600213117
Deliverable 2;;SKY UNO +1 HD/SD;https://it.imageservice.sky.com/logo/skychb_266skyuno1hd;;266;
Deliverable 1;109479;SKY ATLANTIC HD/SD;https://it.imageservice.sky.com/logo/skychb_226skyatlantichd;https://myriad.merlin.comcast.com/select/logo?entityId=6917308255341882117;226;6917308255341882117
Deliverable 2;;SKY ATLANTIC +1 HD  ;https://it.imageservice.sky.com/logo/skychb_520skyatlantic1hd;;520;
